region,year,mean,sdev
DOM,2000-2019,-2.1498138165606535e-06,3.2822760681048071e-06
TWN,2000-2019,nan,nan
IOT,2000-2019,nan,nan
KIR,2000-2019,-8.392019357006921e-07,4.809040815657757e-06
ESP,2000-2019,1.3914609594214792e-06,2.3084004537151665e-06
MMR,2000-2019,7.3182658647198879e-07,1.7229476962753889e-06
KAZ,2000-2019,1.2239698809208366e-05,1.0633071180474729e-05
SUR,2000-2019,-2.3007118850403476e-06,3.7096371521887309e-06
GRD,2000-2019,-1.5794814308320949e-06,2.9900162930841001e-06
LBN,2000-2019,-2.5610306854713878e-10,2.4750254175644422e-06
BFA,2000-2019,4.382741903571569e-06,4.3902975438064256e-06
FUND-WEU,2000-2019,6.2993553512911613e-06,4.4452637050150285e-06
MEX,2000-2019,-2.2547115434011995e-06,2.2554134819070085e-06
DEU,2000-2019,9.4595942682146195e-06,7.0607148598268818e-06
BGD,2000-2019,7.8839106472206586e-07,2.2730401178978103e-06
UGA,2000-2019,-1.4702583452054935e-06,1.5258214618196533e-06
OMN,2000-2019,-7.5091961832730388e-06,5.3174253121113946e-06
LCA,2000-2019,-2.5126044565305026e-06,3.6787377453936493e-06
SJM,2000-2019,4.3003731640432241e-05,4.1658032096748429e-05
ZAF,2000-2019,-1.520929928349956e-06,2.3929817857681048e-06
SLV,2000-2019,-2.2538205485958982e-06,2.6155110120650059e-06
LBY,2000-2019,-3.6432954524490769e-06,3.3457694683939652e-06
ITA,2000-2019,4.5630622879802328e-06,3.2825672584325164e-06
SGS,2000-2019,nan,nan
LIE,2000-2019,1.1133294370043962e-05,8.4552664159921839e-06
FUND-ANZ,2000-2019,-3.5974375385099376e-06,2.6017583201291156e-06
STP,2000-2019,-1.7637958924770234e-06,2.2902835810231282e-06
ARE,2000-2019,-8.8603627429292981e-06,5.7349097633821879e-06
MUS,2000-2019,-2.483958264021549e-06,3.7141195623783999e-06
FUND-EEU,2000-2019,8.5124800875519179e-06,6.1681016635966645e-06
MDA,2000-2019,5.5781163328893833e-06,6.3950510900116605e-06
MCO,2000-2019,1.4219910349594727e-06,3.1542741798485738e-06
MLT,2000-2019,-3.7474255973951111e-06,4.6304119864963687e-06
KO-,2000-2019,6.3725227338059694e-06,6.0715825570915572e-06
IRQ,2000-2019,5.9182650317524258e-06,6.1676758021586547e-06
SOM,2000-2019,2.0527969111601726e-06,2.2477799714786894e-06
ATG,2000-2019,-1.3426788133264704e-06,2.5353122910691263e-06
GGY,2000-2019,2.1825966413450059e-06,3.6839967378588581e-06
FUND-SEA,2000-2019,-6.9098449653472355e-07,1.4068770155861023e-06
TUR,2000-2019,3.9894918977109463e-06,4.6926512581766767e-06
NIC,2000-2019,-9.4343462413750094e-07,1.5333203162691204e-06
PSE,2000-2019,-4.6317001346035519e-07,2.1440307628238697e-06
PCN,2000-2019,-4.57835901552665e-07,3.4039181446638099e-06
MAC,2000-2019,-5.3504418647641574e-06,5.0583923639701044e-06
BTN,2000-2019,2.5313898759859864e-06,2.9876668782714916e-06
GIB,2000-2019,-5.6211458901168743e-07,2.4995269513006162e-06
TKM,2000-2019,3.7019145361272882e-06,4.1256653438406509e-06
NIU,2000-2019,-1.9504727741567226e-06,2.6558759841200724e-06
HKG,2000-2019,-5.7236689618508449e-06,5.3146814471308287e-06
MLI,2000-2019,4.8693925312575374e-06,4.7839585528787432e-06
BOL,2000-2019,2.2148310013769526e-06,2.7829164724109009e-06
BMU,2000-2019,-1.0455016960320818e-06,2.5717505903904168e-06
MRT,2000-2019,4.7377430334425935e-06,4.5205262997840391e-06
TTO,2000-2019,-3.1687250091620482e-06,4.4379985980700267e-06
